"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"126","2024-05-05","50","32","14","Western","Nyabihu","News Comments","Bicycle","dangerous unreliable dirty clean"
"127","2024-05-06","25","44","12","Kigali","Kicukiro","Surveys","Taxi","convenient expensive affordable dangerous unreliable better service dangerous"
"128","2024-05-07","23","51","37","Northern","Burera","Facebook","Motorcycle","unreliable convenient expensive long wait confusing"
"129","2024-05-08","24","33","23","Kigali","Nyarugenge","Facebook","Bicycle","dirty fair system better service"
"130","2024-05-09","41","60","11","Kigali","Gasabo","Twitter","Motorcycle","fair system unreliable expensive price too high expensive"
"131","2024-05-10","39","38","29","Northern","Gicumbi","Facebook","Bus","safe dangerous better service unreliable clean confusing affordable affordable"
"132","2024-05-11","47","31","24","Western","Rutsiro","Surveys","Bicycle","unreliable better service dangerous better service"
"133","2024-05-12","40","51","29","Southern","Ruhango","Surveys","Bicycle","dirty fair system unreliable convenient convenient convenient affordable"
"134","2024-05-13","42","54","18","Eastern","Ngoma","Surveys","Walking","unreliable expensive convenient price too high clean"
"135","2024-05-14","36","41","15","Southern","Huye","News Comments","Bus","unreliable better service comfortable safe"
"136","2024-05-15","40","41","13","Eastern","Nyagatare","Surveys","Motorcycle","expensive safe convenient confusing"
"137","2024-05-16","45","39","25","Northern","Rulindo","Surveys","Taxi","convenient safe long wait clean fair system"
"138","2024-05-17","44","32","26","Eastern","Gatsibo","Twitter","Taxi","fair system dirty price too high clean expensive clean"
"139","2024-05-18","49","41","14","Eastern","Bugesera","Surveys","Bicycle","convenient expensive dangerous better service confusing fair system"
"140","2024-05-19","33","35","15","Northern","Rulindo","Facebook","Bicycle","safe better service clean fair system confusing safe"
"141","2024-05-20","29","46","33","Northern","Rulindo","Facebook","Taxi","affordable confusing convenient dangerous long wait"
"142","2024-05-21","32","45","26","Kigali","Nyarugenge","Surveys","Walking","confusing fair system unreliable dangerous affordable"
"143","2024-05-22","20","58","36","Western","Rutsiro","News Comments","Walking","unreliable safe unreliable clean safe long wait clean fair system"
"144","2024-05-23","26","40","30","Kigali","Gasabo","Twitter","Bus","convenient better service price too high better service expensive dirty convenient fair system"
"145","2024-05-24","45","44","10","Western","Rutsiro","News Comments","Bus","convenient safe clean dangerous better service"
"146","2024-05-25","27","32","31","Western","Nyamasheke","Surveys","Walking","dangerous better service convenient dirty confusing clean safe confusing"
"147","2024-05-26","27","56","37","Western","Karongi","Twitter","Motorcycle","expensive convenient comfortable comfortable"
"148","2024-05-27","22","42","29","Southern","Huye","Twitter","Bus","better service affordable fair system clean safe"
"149","2024-05-28","27","52","13","Eastern","Ngoma","Surveys","Motorcycle","dangerous price too high safe unreliable"
"150","2024-05-29","42","35","38","Kigali","Nyarugenge","Facebook","Motorcycle","clean safe expensive expensive convenient safe affordable confusing"
