"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"251","2024-09-07","28","57","38","Kigali","Gasabo","News Comments","Taxi","affordable clean convenient fair system"
"252","2024-09-08","27","53","29","Eastern","Bugesera","News Comments","Taxi","comfortable long wait unreliable safe"
"253","2024-09-09","38","59","37","Northern","Rulindo","Twitter","Bicycle","confusing long wait better service comfortable dirty"
"254","2024-09-10","28","31","33","Southern","Nyanza","Surveys","Taxi","unreliable unreliable long wait expensive price too high convenient convenient"
"255","2024-09-11","36","57","14","Eastern","Bugesera","News Comments","Taxi","convenient affordable confusing comfortable confusing"
"256","2024-09-12","44","56","15","Northern","Gakenke","News Comments","Motorcycle","convenient fair system clean"
"257","2024-09-13","25","53","16","Kigali","Nyarugenge","Surveys","Taxi","safe expensive fair system"
"258","2024-09-14","32","41","23","Southern","Kamonyi","News Comments","Bicycle","convenient expensive fair system dirty unreliable safe"
"259","2024-09-15","34","31","13","Northern","Musanze","Twitter","Motorcycle","long wait convenient fair system clean price too high fair system unreliable confusing"
"260","2024-09-16","46","41","17","Southern","Muhanga","Facebook","Taxi","clean comfortable fair system confusing affordable comfortable"
"261","2024-09-17","48","38","27","Eastern","Kirehe","News Comments","Bus","unreliable affordable clean"
"262","2024-09-18","46","56","22","Southern","Kamonyi","Surveys","Bus","price too high expensive comfortable dirty"
"263","2024-09-19","40","41","27","Northern","Burera","Twitter","Walking","dirty confusing long wait"
"264","2024-09-20","49","39","35","Kigali","Gasabo","Surveys","Taxi","dangerous safe comfortable safe"
"265","2024-09-21","35","53","29","Eastern","Ngoma","Twitter","Taxi","fair system affordable clean expensive affordable"
"266","2024-09-22","37","55","22","Eastern","Gatsibo","Facebook","Bus","unreliable convenient clean"
"267","2024-09-23","30","44","31","Eastern","Kirehe","Facebook","Motorcycle","long wait convenient comfortable expensive"
"268","2024-09-24","30","52","13","Southern","Muhanga","Twitter","Bicycle","dangerous price too high confusing clean dangerous long wait"
"269","2024-09-25","21","33","18","Southern","Huye","Facebook","Taxi","dangerous price too high confusing dangerous long wait dangerous"
"270","2024-09-26","35","37","28","Western","Nyabihu","Twitter","Taxi","clean price too high affordable"
"271","2024-09-27","46","59","15","Eastern","Kirehe","News Comments","Walking","clean long wait convenient dirty better service"
"272","2024-09-28","20","53","36","Eastern","Kayonza","News Comments","Taxi","affordable dangerous affordable dangerous long wait unreliable"
"273","2024-09-29","22","55","35","Western","Rubavu","Facebook","Motorcycle","expensive clean price too high"
"274","2024-09-30","25","43","24","Western","Nyabihu","Surveys","Walking","dangerous better service comfortable clean dangerous confusing dangerous"
"275","2024-10-01","43","48","33","Western","Nyabihu","Twitter","Motorcycle","price too high price too high expensive unreliable"
