"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"151","2024-05-30","45","44","30","Southern","Kamonyi","News Comments","Motorcycle","affordable convenient price too high affordable better service"
"152","2024-05-31","35","53","14","Western","Nyabihu","News Comments","Bicycle","better service clean clean convenient"
"153","2024-06-01","32","32","32","Western","Rubavu","Twitter","Bus","clean dirty affordable clean confusing clean fair system fair system"
"154","2024-06-02","27","54","38","Western","Karongi","Facebook","Walking","unreliable safe confusing affordable"
"155","2024-06-03","23","39","23","Western","Nyabihu","Surveys","Motorcycle","better service dangerous confusing fair system clean"
"156","2024-06-04","32","41","19","Kigali","Nyarugenge","Facebook","Walking","convenient dangerous confusing"
"157","2024-06-05","37","39","18","Western","Nyamasheke","News Comments","Bicycle","price too high price too high fair system expensive dirty clean"
"158","2024-06-06","27","31","17","Western","Nyamasheke","Surveys","Bus","expensive dirty dirty clean expensive dirty dangerous"
"159","2024-06-07","33","46","27","Eastern","Kayonza","Surveys","Walking","clean comfortable confusing clean comfortable confusing convenient fair system"
"160","2024-06-08","27","50","33","Southern","Nyanza","Surveys","Bicycle","long wait long wait better service price too high clean long wait confusing"
"161","2024-06-09","35","57","30","Southern","Kamonyi","Facebook","Bus","unreliable dangerous expensive confusing"
"162","2024-06-10","31","31","26","Eastern","Kirehe","Surveys","Bicycle","unreliable confusing clean dangerous safe"
"163","2024-06-11","39","60","34","Southern","Muhanga","Surveys","Bus","convenient convenient clean price too high convenient"
"164","2024-06-12","31","39","33","Eastern","Ngoma","Facebook","Bus","dangerous clean better service"
"165","2024-06-13","31","58","11","Western","Ngororero","Twitter","Bicycle","dangerous clean dirty better service long wait dangerous price too high"
"166","2024-06-14","36","51","21","Kigali","Gasabo","Twitter","Motorcycle","comfortable price too high expensive fair system long wait affordable"
"167","2024-06-15","42","43","12","Western","Nyamasheke","Twitter","Bus","convenient price too high comfortable clean convenient"
"168","2024-06-16","27","54","34","Western","Rutsiro","Twitter","Taxi","expensive long wait convenient convenient"
"169","2024-06-17","32","31","38","Southern","Nyanza","Twitter","Walking","affordable dirty safe fair system clean"
"170","2024-06-18","28","52","26","Southern","Nyamagabe","Surveys","Bus","expensive confusing fair system convenient expensive"
"171","2024-06-19","39","40","36","Eastern","Nyagatare","Twitter","Bicycle","comfortable safe fair system fair system expensive confusing clean"
"172","2024-06-20","26","55","28","Northern","Musanze","News Comments","Taxi","safe affordable price too high"
"173","2024-06-21","46","46","30","Western","Karongi","Twitter","Taxi","fair system clean safe"
"174","2024-06-22","42","38","25","Southern","Nyaruguru","News Comments","Taxi","better service fair system dirty safe affordable clean"
"175","2024-06-23","40","54","33","Kigali","Kicukiro","Twitter","Motorcycle","affordable unreliable convenient long wait confusing safe unreliable"
