"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"226","2024-08-13","32","32","12","Northern","Musanze","Facebook","Taxi","convenient convenient expensive expensive price too high affordable"
"227","2024-08-14","34","59","22","Western","Rubavu","Facebook","Bicycle","safe convenient unreliable clean better service price too high dirty comfortable"
"228","2024-08-15","37","34","23","Eastern","Rwamagana","Surveys","Bicycle","price too high long wait better service unreliable dirty fair system unreliable"
"229","2024-08-16","41","33","25","Eastern","Rwamagana","Surveys","Motorcycle","dangerous convenient price too high better service"
"230","2024-08-17","47","56","23","Northern","Rulindo","Facebook","Bicycle","unreliable comfortable expensive safe expensive fair system"
"231","2024-08-18","39","45","29","Western","Karongi","Twitter","Motorcycle","fair system convenient unreliable price too high better service unreliable long wait"
"232","2024-08-19","33","40","14","Eastern","Bugesera","Surveys","Bicycle","clean better service fair system dangerous clean better service comfortable confusing"
"233","2024-08-20","36","57","37","Northern","Musanze","Facebook","Walking","better service convenient clean"
"234","2024-08-21","22","31","27","Northern","Burera","Facebook","Taxi","dangerous dangerous fair system convenient convenient"
"235","2024-08-22","28","37","26","Southern","Huye","News Comments","Walking","expensive dirty better service"
"236","2024-08-23","32","51","14","Southern","Muhanga","Surveys","Walking","dangerous price too high fair system"
"237","2024-08-24","26","37","33","Kigali","Nyarugenge","News Comments","Walking","better service comfortable safe dangerous clean"
"238","2024-08-25","45","40","24","Southern","Muhanga","Facebook","Motorcycle","safe confusing better service expensive"
"239","2024-08-26","25","35","33","Western","Karongi","News Comments","Motorcycle","dirty unreliable comfortable better service convenient price too high fair system price too high"
"240","2024-08-27","44","54","11","Eastern","Rwamagana","Facebook","Bicycle","clean unreliable affordable safe price too high dangerous clean"
"241","2024-08-28","36","34","35","Kigali","Gasabo","News Comments","Motorcycle","expensive expensive fair system"
"242","2024-08-29","40","55","18","Kigali","Gasabo","Twitter","Walking","dirty affordable convenient affordable price too high clean dirty clean"
"243","2024-08-30","25","40","18","Western","Nyabihu","Twitter","Bus","convenient affordable fair system price too high dirty"
"244","2024-08-31","39","41","29","Eastern","Ngoma","News Comments","Motorcycle","dangerous dirty dirty"
"245","2024-09-01","29","49","38","Eastern","Nyagatare","Surveys","Bus","safe comfortable better service long wait comfortable clean"
"246","2024-09-02","42","33","10","Western","Nyamasheke","Twitter","Bus","unreliable convenient price too high clean price too high affordable"
"247","2024-09-03","32","31","21","Southern","Kamonyi","Surveys","Bus","confusing long wait affordable unreliable safe price too high"
"248","2024-09-04","49","60","23","Southern","Ruhango","Facebook","Bicycle","confusing dangerous affordable expensive safe affordable confusing price too high"
"249","2024-09-05","49","48","24","Southern","Huye","Facebook","Motorcycle","dirty convenient safe dangerous fair system expensive"
"250","2024-09-06","42","53","31","Northern","Burera","Surveys","Bicycle","confusing long wait confusing safe safe better service price too high expensive"
