"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"51","2024-02-20","21","59","10","Western","Rutsiro","Facebook","Bicycle","convenient long wait comfortable"
"52","2024-02-21","33","40","30","Eastern","Nyagatare","Twitter","Bus","dirty comfortable comfortable confusing"
"53","2024-02-22","44","44","34","Southern","Muhanga","Twitter","Motorcycle","clean better service clean confusing"
"54","2024-02-23","24","31","24","Northern","Gakenke","Surveys","Motorcycle","dirty dangerous expensive affordable price too high confusing dirty"
"55","2024-02-24","37","46","16","Kigali","Gasabo","Surveys","Walking","comfortable dirty price too high affordable better service comfortable"
"56","2024-02-25","26","49","11","Northern","Gakenke","Facebook","Bus","comfortable clean comfortable affordable"
"57","2024-02-26","24","48","18","Western","Nyamasheke","Facebook","Motorcycle","dirty expensive long wait affordable clean clean"
"58","2024-02-27","43","40","37","Southern","Huye","News Comments","Bus","convenient clean affordable"
"59","2024-02-28","47","57","38","Southern","Nyanza","Twitter","Motorcycle","dirty price too high confusing clean price too high dangerous"
"60","2024-02-29","31","49","26","Northern","Gicumbi","Twitter","Bicycle","price too high unreliable price too high convenient comfortable long wait comfortable"
"61","2024-03-01","40","39","17","Southern","Huye","Twitter","Walking","dangerous dirty confusing better service better service long wait"
"62","2024-03-02","23","42","25","Kigali","Kicukiro","Surveys","Taxi","long wait confusing convenient dirty"
"63","2024-03-03","32","35","34","Southern","Muhanga","Twitter","Walking","safe convenient expensive unreliable convenient"
"64","2024-03-04","28","56","22","Northern","Gicumbi","Twitter","Walking","expensive affordable affordable"
"65","2024-03-05","44","59","13","Southern","Muhanga","News Comments","Bicycle","confusing clean safe dangerous confusing clean comfortable"
"66","2024-03-06","33","47","18","Southern","Gisagara","Surveys","Motorcycle","unreliable better service price too high better service fair system convenient clean"
"67","2024-03-07","44","40","21","Southern","Nyanza","Facebook","Bicycle","confusing clean safe long wait dirty price too high expensive convenient"
"68","2024-03-08","44","60","18","Western","Rubavu","News Comments","Taxi","dirty convenient expensive unreliable"
"69","2024-03-09","44","37","24","Northern","Musanze","Facebook","Walking","dangerous clean dirty unreliable expensive better service convenient clean"
"70","2024-03-10","33","48","21","Southern","Kamonyi","Twitter","Bicycle","confusing expensive dangerous dangerous convenient comfortable affordable convenient"
"71","2024-03-11","43","33","14","Southern","Huye","Twitter","Bicycle","dirty clean price too high fair system safe unreliable safe"
"72","2024-03-12","39","45","11","Northern","Rulindo","Surveys","Walking","confusing dangerous convenient better service comfortable long wait convenient"
"73","2024-03-13","41","33","18","Northern","Burera","Facebook","Bicycle","dangerous affordable dirty dirty convenient"
"74","2024-03-14","20","35","39","Western","Rutsiro","Twitter","Motorcycle","convenient comfortable long wait dangerous unreliable better service fair system fair system"
"75","2024-03-15","34","38","25","Western","Karongi","Twitter","Bus","comfortable long wait dangerous long wait safe unreliable affordable dangerous"
