"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"326","2024-11-21","21","49","17","Northern","Gakenke","Facebook","Motorcycle","expensive confusing expensive unreliable affordable clean"
"327","2024-11-22","50","46","19","Southern","Ruhango","Facebook","Walking","expensive convenient expensive safe"
"328","2024-11-23","21","34","31","Northern","Gakenke","Surveys","Walking","fair system better service dirty affordable"
"329","2024-11-24","30","39","32","Kigali","Kicukiro","Twitter","Taxi","safe fair system fair system clean"
"330","2024-11-25","47","47","15","Southern","Muhanga","Twitter","Bicycle","unreliable fair system better service fair system fair system dangerous better service unreliable"
"331","2024-11-26","39","35","19","Western","Rubavu","Twitter","Taxi","affordable price too high affordable"
"332","2024-11-27","29","33","21","Western","Rubavu","Twitter","Walking","fair system safe safe expensive"
"333","2024-11-28","42","43","12","Kigali","Nyarugenge","Facebook","Bicycle","fair system long wait price too high fair system fair system better service better service dangerous"
"334","2024-11-29","45","41","31","Kigali","Nyarugenge","Facebook","Bicycle","price too high expensive affordable safe convenient"
"335","2024-11-30","29","55","27","Western","Nyabihu","Surveys","Motorcycle","convenient safe dangerous clean"
"336","2024-12-01","35","38","14","Northern","Gicumbi","Facebook","Motorcycle","comfortable dirty clean"
"337","2024-12-02","41","31","39","Northern","Gakenke","Facebook","Taxi","better service dirty dangerous affordable"
"338","2024-12-03","39","56","27","Western","Nyamasheke","News Comments","Bus","long wait price too high better service fair system safe better service"
"339","2024-12-04","39","40","34","Southern","Nyamagabe","Facebook","Walking","unreliable long wait comfortable unreliable unreliable better service expensive convenient"
"340","2024-12-05","49","49","35","Kigali","Gasabo","Facebook","Motorcycle","better service convenient clean affordable convenient"
"341","2024-12-06","32","46","36","Southern","Gisagara","Twitter","Motorcycle","convenient price too high convenient convenient"
"342","2024-12-07","24","41","34","Kigali","Nyarugenge","News Comments","Walking","price too high fair system fair system safe convenient"
"343","2024-12-08","36","36","29","Kigali","Gasabo","News Comments","Walking","affordable price too high safe price too high convenient"
"344","2024-12-09","27","43","29","Northern","Rulindo","Surveys","Bus","long wait convenient dirty price too high"
"345","2024-12-10","35","49","18","Western","Ngororero","Twitter","Bus","convenient expensive better service confusing"
"346","2024-12-11","31","46","11","Northern","Rulindo","Facebook","Walking","long wait fair system unreliable convenient expensive"
"347","2024-12-12","50","50","23","Western","Rubavu","News Comments","Bicycle","affordable comfortable confusing long wait"
"348","2024-12-13","32","52","21","Kigali","Gasabo","Facebook","Taxi","better service convenient long wait comfortable affordable unreliable better service"
"349","2024-12-14","27","45","22","Eastern","Gatsibo","Twitter","Bus","clean unreliable convenient fair system"
"350","2024-12-15","39","42","15","Western","Rusizi","Twitter","Taxi","better service long wait dangerous expensive"
