"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"201","2024-07-19","27","42","33","Western","Rutsiro","Facebook","Walking","dirty better service dirty convenient affordable convenient"
"202","2024-07-20","49","54","28","Kigali","Kicukiro","Surveys","Bus","dirty confusing unreliable long wait fair system dirty comfortable"
"203","2024-07-21","38","46","39","Kigali","Kicukiro","Twitter","Bus","clean dangerous fair system long wait long wait confusing"
"204","2024-07-22","35","57","15","Kigali","Gasabo","Facebook","Bicycle","convenient fair system fair system better service long wait better service safe"
"205","2024-07-23","32","47","26","Southern","Nyamagabe","Twitter","Motorcycle","fair system expensive fair system comfortable"
"206","2024-07-24","46","57","36","Kigali","Gasabo","Facebook","Taxi","price too high unreliable better service fair system"
"207","2024-07-25","31","48","36","Northern","Rulindo","Facebook","Taxi","convenient better service better service"
"208","2024-07-26","29","43","11","Southern","Nyaruguru","Twitter","Bicycle","safe comfortable dangerous"
"209","2024-07-27","25","58","39","Eastern","Nyagatare","Facebook","Bus","unreliable safe comfortable"
"210","2024-07-28","25","51","25","Kigali","Kicukiro","Twitter","Bus","affordable better service affordable fair system dirty affordable"
"211","2024-07-29","34","42","22","Northern","Gicumbi","News Comments","Bicycle","clean fair system affordable"
"212","2024-07-30","28","31","23","Southern","Huye","Facebook","Bus","affordable dirty expensive fair system"
"213","2024-07-31","26","47","13","Western","Rusizi","News Comments","Bus","expensive confusing expensive fair system"
"214","2024-08-01","40","45","15","Kigali","Nyarugenge","Twitter","Walking","better service convenient convenient safe expensive convenient"
"215","2024-08-02","21","56","22","Northern","Gicumbi","Surveys","Bus","fair system fair system dirty convenient dangerous price too high price too high"
"216","2024-08-03","41","54","20","Northern","Gakenke","Twitter","Taxi","affordable better service unreliable unreliable"
"217","2024-08-04","31","56","22","Kigali","Nyarugenge","News Comments","Motorcycle","expensive fair system expensive"
"218","2024-08-05","32","41","19","Kigali","Gasabo","Facebook","Walking","long wait unreliable clean comfortable dirty long wait dirty fair system"
"219","2024-08-06","45","56","27","Western","Rutsiro","Facebook","Motorcycle","safe fair system affordable fair system price too high"
"220","2024-08-07","48","35","15","Northern","Gakenke","Facebook","Bus","dangerous convenient expensive long wait better service"
"221","2024-08-08","28","38","39","Southern","Muhanga","News Comments","Taxi","convenient unreliable convenient comfortable price too high fair system unreliable"
"222","2024-08-09","49","50","11","Kigali","Nyarugenge","Twitter","Walking","long wait safe dirty confusing convenient affordable clean"
"223","2024-08-10","42","59","21","Kigali","Nyarugenge","News Comments","Motorcycle","dirty dangerous price too high convenient affordable"
"224","2024-08-11","41","47","39","Southern","Kamonyi","Twitter","Bus","better service confusing fair system"
"225","2024-08-12","22","46","29","Western","Nyabihu","Facebook","Taxi","dangerous clean affordable dangerous comfortable"
