"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"1","2024-01-01","29","36","29","Kigali","Kicukiro","Surveys","Taxi","price too high clean fair system clean comfortable clean"
"2","2024-01-02","44","31","38","Kigali","Gasabo","Facebook","Walking","unreliable affordable confusing confusing better service expensive price too high"
"3","2024-01-03","32","42","15","Kigali","Nyarugenge","Twitter","Bus","safe expensive confusing better service confusing price too high"
"4","2024-01-04","46","44","19","Kigali","Gasabo","Facebook","Motorcycle","confusing clean dirty safe"
"5","2024-01-05","48","43","34","Western","Nyamasheke","Twitter","Taxi","unreliable unreliable price too high comfortable long wait"
"6","2024-01-06","21","40","40","Kigali","Gasabo","Facebook","Bicycle","dangerous expensive dirty convenient comfortable comfortable safe comfortable"
"7","2024-01-07","36","56","20","Eastern","Ngoma","Surveys","Bus","affordable dirty convenient affordable dirty long wait long wait safe"
"8","2024-01-08","47","44","10","Western","Karongi","Twitter","Bus","unreliable affordable dirty price too high clean convenient expensive"
"9","2024-01-09","37","46","40","Northern","Rulindo","Facebook","Motorcycle","expensive confusing clean"
"10","2024-01-10","34","59","14","Northern","Gicumbi","Twitter","Taxi","dirty confusing unreliable"
"11","2024-01-11","49","53","11","Western","Rubavu","News Comments","Bus","convenient dirty fair system price too high long wait clean comfortable safe"
"12","2024-01-12","34","36","28","Northern","Burera","Facebook","Taxi","unreliable confusing fair system affordable expensive"
"13","2024-01-13","40","39","20","Eastern","Nyagatare","Surveys","Motorcycle","dirty better service expensive dirty better service comfortable clean"
"14","2024-01-14","37","59","26","Western","Karongi","Twitter","Taxi","better service better service clean affordable long wait confusing"
"15","2024-01-15","23","48","34","Northern","Gicumbi","Twitter","Bicycle","expensive confusing affordable better service dirty price too high long wait"
"16","2024-01-16","47","53","12","Western","Nyabihu","Surveys","Bicycle","dangerous long wait expensive price too high"
"17","2024-01-17","27","41","31","Northern","Gakenke","Twitter","Taxi","confusing unreliable safe clean safe"
"18","2024-01-18","21","53","38","Southern","Nyanza","Facebook","Bus","price too high dangerous price too high"
"19","2024-01-19","30","46","18","Kigali","Gasabo","Surveys","Taxi","safe confusing unreliable"
"20","2024-01-20","49","57","17","Southern","Huye","Twitter","Motorcycle","dirty convenient convenient confusing unreliable affordable fair system"
"21","2024-01-21","47","36","15","Northern","Musanze","Surveys","Bicycle","long wait confusing unreliable dirty confusing"
"22","2024-01-22","41","38","12","Southern","Kamonyi","Twitter","Walking","dirty affordable unreliable expensive"
"23","2024-01-23","39","33","27","Kigali","Kicukiro","News Comments","Motorcycle","better service convenient affordable affordable confusing price too high affordable expensive"
"24","2024-01-24","50","36","25","Kigali","Nyarugenge","Surveys","Motorcycle","safe clean dangerous clean dirty affordable dangerous"
"25","2024-01-25","40","59","25","Kigali","Gasabo","Facebook","Taxi","dangerous comfortable expensive safe dirty affordable safe"
