"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"76","2024-03-16","27","48","24","Northern","Musanze","News Comments","Bicycle","dirty long wait fair system"
"77","2024-03-17","31","52","32","Kigali","Nyarugenge","Facebook","Taxi","comfortable confusing fair system expensive long wait fair system"
"78","2024-03-18","38","35","30","Northern","Gakenke","Surveys","Walking","better service comfortable better service dirty convenient"
"79","2024-03-19","31","56","11","Eastern","Gatsibo","Twitter","Motorcycle","dirty safe convenient"
"80","2024-03-20","23","51","31","Eastern","Ngoma","Facebook","Walking","better service long wait unreliable unreliable"
"81","2024-03-21","27","53","21","Northern","Rulindo","Surveys","Walking","convenient dirty dirty expensive fair system better service expensive expensive"
"82","2024-03-22","40","34","37","Kigali","Nyarugenge","Facebook","Bicycle","price too high unreliable confusing confusing price too high"
"83","2024-03-23","33","41","33","Kigali","Nyarugenge","Facebook","Motorcycle","price too high price too high confusing dangerous convenient dangerous better service"
"84","2024-03-24","44","50","14","Eastern","Nyagatare","Twitter","Motorcycle","dirty affordable clean long wait"
"85","2024-03-25","23","46","19","Northern","Rulindo","Facebook","Taxi","fair system unreliable convenient clean dangerous"
"86","2024-03-26","33","40","14","Southern","Ruhango","Twitter","Bicycle","confusing dangerous better service"
"87","2024-03-27","50","37","28","Western","Rusizi","Surveys","Walking","confusing comfortable unreliable confusing"
"88","2024-03-28","47","32","27","Kigali","Kicukiro","News Comments","Taxi","confusing convenient safe clean better service"
"89","2024-03-29","47","37","31","Western","Ngororero","Surveys","Taxi","convenient expensive unreliable dangerous comfortable comfortable affordable"
"90","2024-03-30","25","57","19","Western","Nyamasheke","News Comments","Motorcycle","confusing confusing long wait dirty price too high expensive better service long wait"
"91","2024-03-31","24","54","28","Eastern","Kirehe","Twitter","Motorcycle","comfortable clean unreliable dirty"
"92","2024-04-01","40","52","40","Northern","Gicumbi","Facebook","Walking","clean unreliable convenient fair system"
"93","2024-04-02","30","35","32","Kigali","Gasabo","News Comments","Bus","better service comfortable fair system confusing price too high clean"
"94","2024-04-03","40","34","12","Western","Ngororero","Facebook","Walking","dirty safe dirty fair system dirty"
"95","2024-04-04","30","59","24","Southern","Gisagara","News Comments","Taxi","dirty comfortable expensive comfortable safe expensive unreliable dirty"
"96","2024-04-05","26","43","12","Southern","Huye","Surveys","Motorcycle","confusing expensive long wait comfortable unreliable affordable unreliable fair system"
"97","2024-04-06","43","44","20","Southern","Huye","Twitter","Motorcycle","safe affordable expensive comfortable"
"98","2024-04-07","23","35","32","Eastern","Nyagatare","Surveys","Bicycle","convenient fair system expensive price too high comfortable"
"99","2024-04-08","34","48","10","Southern","Gisagara","Surveys","Walking","clean convenient convenient"
"100","2024-04-09","35","38","33","Southern","Nyanza","News Comments","Bus","convenient affordable dirty price too high affordable dangerous unreliable dangerous"
