"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"101","2024-04-10","38","37","24","Kigali","Gasabo","Surveys","Walking","expensive price too high price too high expensive comfortable"
"102","2024-04-11","30","51","32","Southern","Huye","Facebook","Taxi","price too high safe unreliable confusing confusing confusing clean"
"103","2024-04-12","35","38","30","Kigali","Kicukiro","News Comments","Taxi","expensive comfortable clean"
"104","2024-04-13","49","54","27","Eastern","Bugesera","News Comments","Bus","better service dirty fair system price too high fair system price too high"
"105","2024-04-14","34","33","31","Kigali","Kicukiro","News Comments","Walking","long wait convenient better service"
"106","2024-04-15","47","55","30","Kigali","Nyarugenge","Twitter","Walking","affordable affordable clean long wait affordable expensive dirty safe"
"107","2024-04-16","47","43","19","Eastern","Bugesera","Twitter","Motorcycle","dirty safe comfortable convenient unreliable dangerous expensive confusing"
"108","2024-04-17","38","53","13","Northern","Burera","Facebook","Walking","dangerous better service affordable better service"
"109","2024-04-18","32","50","39","Southern","Nyaruguru","Surveys","Motorcycle","long wait unreliable long wait fair system better service unreliable comfortable"
"110","2024-04-19","24","43","32","Eastern","Ngoma","News Comments","Bus","convenient dirty price too high expensive unreliable dirty"
"111","2024-04-20","48","49","28","Eastern","Rwamagana","Twitter","Bicycle","expensive safe clean fair system"
"112","2024-04-21","29","30","14","Eastern","Nyagatare","Twitter","Taxi","dirty safe safe better service fair system price too high"
"113","2024-04-22","22","37","27","Northern","Gicumbi","Facebook","Bicycle","long wait safe better service long wait expensive clean affordable"
"114","2024-04-23","48","51","18","Southern","Ruhango","Twitter","Bicycle","expensive long wait convenient better service better service comfortable"
"115","2024-04-24","42","36","37","Eastern","Kirehe","Twitter","Walking","unreliable convenient price too high safe"
"116","2024-04-25","24","54","10","Western","Rutsiro","Surveys","Bus","fair system dangerous dirty expensive expensive affordable affordable clean"
"117","2024-04-26","36","39","17","Kigali","Kicukiro","Facebook","Bicycle","long wait fair system better service dirty clean affordable"
"118","2024-04-27","49","51","14","Northern","Rulindo","Surveys","Taxi","dangerous unreliable dirty price too high clean"
"119","2024-04-28","38","58","20","Western","Rutsiro","Twitter","Bicycle","fair system comfortable dirty confusing"
"120","2024-04-29","32","33","32","Western","Karongi","News Comments","Bicycle","better service confusing confusing dirty convenient safe convenient"
"121","2024-04-30","39","34","40","Western","Rutsiro","Twitter","Motorcycle","price too high expensive convenient"
"122","2024-05-01","30","50","31","Eastern","Gatsibo","Facebook","Motorcycle","expensive dirty dangerous safe safe unreliable clean fair system"
"123","2024-05-02","29","43","25","Northern","Gicumbi","News Comments","Bus","confusing affordable expensive expensive"
"124","2024-05-03","27","55","23","Northern","Rulindo","Facebook","Taxi","price too high better service safe unreliable unreliable"
"125","2024-05-04","31","59","38","Eastern","Bugesera","Twitter","Taxi","comfortable unreliable safe unreliable"
