"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"176","2024-06-24","39","33","37","Kigali","Gasabo","Twitter","Taxi","dangerous dangerous dangerous price too high long wait"
"177","2024-06-25","31","55","35","Southern","Ruhango","Twitter","Walking","clean confusing safe fair system"
"178","2024-06-26","36","38","12","Western","Rutsiro","News Comments","Bus","fair system expensive better service better service price too high long wait safe comfortable"
"179","2024-06-27","46","53","10","Eastern","Rwamagana","Facebook","Bus","expensive dirty fair system convenient confusing"
"180","2024-06-28","37","59","12","Southern","Huye","Twitter","Taxi","price too high clean safe dangerous unreliable expensive dangerous affordable"
"181","2024-06-29","45","32","36","Northern","Burera","News Comments","Motorcycle","confusing unreliable expensive long wait price too high"
"182","2024-06-30","29","56","27","Kigali","Kicukiro","News Comments","Bicycle","fair system expensive unreliable"
"183","2024-07-01","41","54","19","Southern","Nyaruguru","Twitter","Taxi","long wait expensive clean"
"184","2024-07-02","28","42","39","Southern","Muhanga","Twitter","Bicycle","fair system long wait better service"
"185","2024-07-03","38","40","28","Kigali","Nyarugenge","News Comments","Bicycle","expensive unreliable fair system safe long wait"
"186","2024-07-04","34","36","26","Kigali","Nyarugenge","News Comments","Bus","confusing affordable expensive expensive price too high dangerous affordable long wait"
"187","2024-07-05","28","47","22","Southern","Ruhango","Facebook","Motorcycle","price too high price too high better service safe expensive comfortable"
"188","2024-07-06","37","57","20","Northern","Gakenke","Facebook","Motorcycle","fair system safe dangerous confusing"
"189","2024-07-07","47","46","34","Southern","Nyamagabe","Twitter","Bicycle","affordable comfortable comfortable dirty comfortable comfortable"
"190","2024-07-08","47","48","11","Northern","Musanze","Twitter","Taxi","affordable unreliable affordable clean long wait better service long wait"
"191","2024-07-09","28","50","21","Southern","Nyamagabe","Surveys","Taxi","dirty clean fair system dangerous"
"192","2024-07-10","30","46","36","Southern","Muhanga","News Comments","Bus","confusing expensive better service clean price too high unreliable safe comfortable"
"193","2024-07-11","50","45","31","Kigali","Nyarugenge","Twitter","Taxi","affordable comfortable convenient dirty safe"
"194","2024-07-12","39","30","31","Eastern","Bugesera","Facebook","Bus","fair system expensive price too high dirty dangerous price too high"
"195","2024-07-13","48","31","20","Southern","Muhanga","Twitter","Motorcycle","fair system expensive expensive fair system price too high fair system unreliable unreliable"
"196","2024-07-14","34","58","27","Kigali","Nyarugenge","Surveys","Taxi","fair system confusing expensive clean dangerous unreliable safe fair system"
"197","2024-07-15","32","53","14","Southern","Ruhango","Twitter","Motorcycle","comfortable confusing dangerous convenient affordable expensive"
"198","2024-07-16","40","36","34","Northern","Burera","Facebook","Bus","dirty convenient safe price too high"
"199","2024-07-17","25","50","37","Western","Nyamasheke","News Comments","Bus","long wait expensive safe expensive"
"200","2024-07-18","37","50","16","Northern","Burera","News Comments","Bus","dangerous confusing safe"
